tick,population,active,withdrawn,dead_cumulative,births,deaths,mean_stress,mean_W,mean_density,max_cell_count,civilization_phase
264,1,1,0,19,0,0,0.0,0.46087798237744315,0.009357142857142857,1,expansion
265,1,1,0,19,0,0,0.0,0.46087798237744315,0.009357142857142857,1,expansion
266,0,0,0,20,0,1,0.0,0.0,0.0,0,expansion
267,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
268,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
269,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
270,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
271,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
272,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
273,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
274,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
275,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
276,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
277,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
278,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
279,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
280,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
281,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
282,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
283,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
284,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
285,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
286,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
287,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
288,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
289,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
290,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
291,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
292,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
293,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
294,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
295,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
296,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
297,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
298,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
299,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
300,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
301,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
302,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
303,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
304,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
305,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
306,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
307,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
308,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
309,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
310,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
311,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
312,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
313,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
314,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
315,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
316,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
317,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
318,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
319,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
320,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
321,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
322,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
323,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
324,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
325,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
326,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
327,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
328,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
329,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
330,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
331,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
332,0,0,0,20,0,0,0.0,0.0,0.0,0,expansion
